x,y,z
0.3000043932593998,-1.060883455337308e-06,0.04103398108016365
0.27716349317000344,0.11480467334133429,0.040463392735871656
0.21213079105012325,0.21213112652482766,0.04035243620589404
0.11480626101411104,0.27716558876735836,0.040507592163305184
4.315676137706115e-07,0.300001170971587,0.04028621955113168
0.3499960673510438,2.3481470712363728e-06,0.041126514479404325
0.3233610552938718,0.1339443763790517,0.04062754803954893
0.247488490133859,0.24749314460248353,0.04071787595448689
0.13393689382563043,0.32336079832684556,0.040484910962409165
-3.0146204604182547e-06,0.3500010496887883,0.040181344020328885
0.4000066200261745,6.048476345714426e-07,0.041314114439665595
0.36956231807544115,0.15307955835129378,0.040903078993197395
0.28284623592614516,0.28284848953040276,0.041005211530637936
0.15307277675831227,0.36955544612578184,0.040649352145144035
-1.7099705210028848e-06,0.40001163685678937,0.04017257711007757
0.4500077458459057,-5.147321921056269e-07,0.041462732805957
0.41575371334124617,0.17220909895365072,0.041163220515981036
0.318203361684069,0.318200097724649,0.041291676546233835
0.17221757649694083,0.41574764727475877,0.04094010406803561
2.661816749766066e-06,0.45000270873129805,0.040191078135569686
0.5000049357186775,-6.100864873223588e-07,0.041735708250035225
0.46194837974905467,0.19134474233879736,0.04155672092175802
0.35355320454562905,0.3535519427358509,0.041709826138573325
0.19134558871202567,0.4619449818373395,0.04139089556920067
0.550007380024183,-1.6756507425219613e-06,0.042141856484601115
0.5081363603853041,0.21047610116275225,0.04199815605450896
0.3889143902723782,0.3889137696518245,0.042242043427174525
0.6000033267222123,-8.767643854615259e-07,0.04260571119206821
0.5543370326603284,0.22959961449566482,0.04251013205715898
0.4242610510659807,0.42426118929381396,0.04279906174847145
0.6500011293671041,-1.4355353065570453e-06,0.042979425285736395
0.6005220909819866,0.24874522774603386,0.04301207747399119
0.45961424415871394,0.4596140510898678,0.04346569690409377
0.7000069620371836,-6.292151876058361e-07,0.04339979967763982
0.6467188745878587,0.2678795377244733,0.04352149294930649
0.49497403458499795,0.49497303931581543,0.04418594033241863
0.7499987687364207,-6.210789312149911e-07,0.04371440711559127
0.6929171946222127,0.2869945617827815,0.04393299985769927
