x,y,z
0.3000019153820998,-1.3289646682568268e-06,0.041042854783377936
0.2998211234401746,0.010469570853987233,0.04100064672375062
0.29927120946509395,0.0209266207542636,0.04096864191894836
0.29835929922705057,0.03135856662450929,0.040910767807550236
0.29708018605318504,0.04175144428034105,0.0408565255756039
0.29544516499478607,0.05209492138154184,0.04080839864042746
0.29344948114732866,0.06237464815189175,0.04074850462248808
0.2910967410602679,0.07257829372889331,0.04069901007126578
0.2883857451107203,0.082693243441928,0.040625295124190525
0.28532130631709207,0.09270632972176399,0.04056741878619627
0.28191020138941797,0.10260658247248003,0.04050897431635661
0.2781570171306757,0.11236874264575931,0.04046419414900004
0.27406203302073595,0.12201969583963643,0.04043074435987001
0.2696373792392519,0.13151068103005745,0.04039337600269938
0.2648829058512942,0.14084003354708916,0.04036368416200409
0.25983108952464357,0.14995132956030388,0.04033810071789351
0.25441199330410075,0.15897358606871276,0.04033747139407565
0.24870871789410778,0.16775537242426014,0.04032607539092514
0.24270307929650214,0.1763331491246224,0.040310479353795475
0.23639981610955463,0.18469479085052498,0.040313413009604476
0.2298113642404353,0.19283392992310933,0.040325718385826964
0.22294171470371643,0.2007367251354404,0.04033541405256555
0.21580087411246754,0.20839583820655505,0.040339047651606785
0.20839786987869025,0.21580167943210135,0.04037297763127576
0.20075161834060562,0.22292676331360003,0.040416437370807246
0.19284390659597173,0.22980222156473784,0.04049715645585328
0.18471043541565987,0.23640262872720305,0.04057792123459633
0.1763407066322356,0.2427127488500883,0.04059789358918556
0.16776204597148386,0.24871726059214438,0.0406043506410918
0.15897681391773832,0.2544156375132188,0.04057287798836981
0.15000194653158314,0.25981044817095567,0.040560137360117904
0.14084271670900156,0.2648860910847793,0.04054656156380049
0.13151165927880837,0.2696377948063032,0.04053296946034382
0.12202015450202087,0.2740607409830729,0.04050912360601919
0.1123817675461172,0.2781541023086292,0.0405086454568733
0.10265792895352618,0.28188952198979955,0.04049726192861974
0.09271715673352161,0.2853126751750015,0.040491147339153155
0.08270382697050953,0.2883756073672347,0.04046323581906672
0.07257737394303283,0.291090215399274,0.040463799181200855
0.062374409023469086,0.2934468421440754,0.04044543873022349
